datetime,CALL_open,CALL_high,CALL_low,CALL_close,CALL_volume,CALL_oi,CALL_iv,strike,spot,PUT_open,PUT_high,PUT_low,PUT_close,PUT_volume,PUT_oi,PUT_iv
01-12-2025 09:15,376,400,376,386.65,268800,1261650,9.362887,26300,26284.05,230.15,230.2,210.25,226.75,387300,1156125,10.608253
01-12-2025 09:30,387.95,398.5,381.4,384.9,155325,1262700,9.235427,26300,26287.25,224.75,229.8,219.3,227.45,203775,1172175,10.677421
01-12-2025 09:45,387,410.65,378.1,404.3,65925,143775,9.352844,26250,26264.3,227,232.75,212.5,216.9,103875,215625,10.692052
01-12-2025 10:00,403.45,408.6,377.15,382.5,58200,1285875,9.207522,26300,26284.95,217.8,233.5,213.85,228.7,86400,1189350,10.690876
01-12-2025 10:15,383.8,410,377.05,384,33450,1294500,9.346518,26300,26281.1,227.8,232.65,212.2,228.05,42675,1198875,10.615991
01-12-2025 10:30,383.3,411.1,378.45,398.05,30375,146025,9.268417,26250,26258.6,227.55,232.15,212.95,219.45,60000,243975,10.707312
01-12-2025 10:45,398.15,399.7,385.75,389.95,15675,150825,9.418643,26250,26238.95,219.65,230,218.75,226,31425,233550,10.6692
01-12-2025 11:00,388.9,394.65,383.2,394.25,9675,154575,9.498223,26250,26242.4,227.15,234,223.3,224.1,18675,232575,10.651132
01-12-2025 11:15,394.6,398.85,392.45,397.2,6525,154500,9.494047,26250,26247.5,224,225.4,219.85,221.5,8775,233175,10.630878
01-12-2025 11:30,394.9,411.75,378.75,402,68625,1915125,9.378166,26200,26211.75,222.3,238,215.5,225.75,88275,2586150,10.98985
01-12-2025 11:45,401.3,405.3,383.75,401.9,203850,1955625,9.358802,26200,26212.6,225.2,240.2,221.75,223.9,281850,2625225,10.937273
01-12-2025 12:00,402.45,421.35,380,382.2,87900,1965750,9.475891,26200,26175.65,223.85,241.5,215,238.75,120450,2628900,10.94766
01-12-2025 12:15,412,413.05,377.7,386.1,50850,1991700,9.337704,26200,26188.55,221,245,218.2,238,99525,2648475,11.102588
01-12-2025 12:30,386.25,411.05,380.9,403.2,23250,70050,9.389019,26150,26164.95,237.75,242,219.45,228.45,39375,153750,11.147647
01-12-2025 12:45,400.1,410.2,377.25,382,17325,2083800,9.277918,26200,26184.95,228,243.55,221.25,239.1,33750,2699250,11.092628
01-12-2025 13:00,381.5,412.15,376.25,384.25,102600,2122050,9.31702,26200,26186.95,239.65,242.3,218.9,233.25,63375,2712075,10.91723
01-12-2025 13:15,384.1,408,373.55,405.9,108375,72825,9.298915,26150,26173.6,234.1,244.3,222.3,223.85,73650,161175,11.10549
01-12-2025 13:30,405.9,412.95,376.05,387.8,73050,2064675,9.362688,26200,26190.9,223.85,241.2,218.25,231.45,77100,2690550,10.910868
01-12-2025 13:45,388,392.55,381.45,384.35,79125,2071800,9.416088,26200,26183,230.8,237.4,228.4,236.7,74325,2702400,10.98528
01-12-2025 14:00,385,402.25,366.45,397.7,110475,2076975,9.210258,26200,26213.85,235.75,240.4,221.3,224.55,106500,2701575,10.98529
01-12-2025 14:15,399.5,399.95,388.9,393.95,49650,2074125,9.236316,26200,26206.9,224,231.3,223.05,227.05,46200,2699775,10.979437
01-12-2025 14:30,392.45,411,379.05,404.85,86100,69000,9.302986,26150,26172.5,227.65,238.05,215.6,220.6,95400,174600,10.980339
01-12-2025 14:45,374.55,406.95,373.05,394.55,36675,86850,9.62174,26150,26141.95,240.55,242,218.05,228.3,83100,172800,10.834593
01-12-2025 15:00,397.4,408,373.35,379.8,87825,2099175,9.347622,26200,26179.5,226.65,238.95,217,235,105075,2715150,10.881392
01-12-2025 15:15,411.95,413,370.05,370.05,137175,2049750,9.083788,26200,26175.95,213.65,238,213.65,235,168750,2697675,10.832466
02-12-2025 09:15,398.05,407.85,369.45,381,104175,104250,9.641839,26150,26130.2,223.6,236.3,212.5,232.75,273525,208800,10.89209
02-12-2025 09:30,411.15,412.25,368.9,382.15,155475,1166325,9.732645,26100,26079.3,212.7,239,212.35,232.45,267150,1363950,10.884741
02-12-2025 09:45,382.4,417.75,378.75,381,101250,1223700,9.785708,26100,26075.1,232.2,235.5,212.8,233.8,221250,1391400,10.873352
02-12-2025 10:00,412.8,414.05,378.5,401.95,29100,52950,9.829126,26050,26058.7,214.05,237.4,213.4,220.45,191700,126000,10.888989
02-12-2025 10:15,401.8,410.55,377.55,381.1,16200,1257450,9.716044,26100,26078.8,221.35,234.75,211.8,231.95,27150,1351725,10.86256
02-12-2025 10:30,379.45,413.75,378,407.3,66975,62100,9.667261,26050,26074.65,231.45,232.95,212.2,213.6,60900,132150,10.865255
02-12-2025 10:45,377.85,410,375,388,54300,1274850,9.543738,26100,26098.2,233.85,235.95,213.5,224.35,92775,1352250,10.868982
02-12-2025 11:00,389.15,389.45,377.3,377.85,48450,1282650,9.56746,26100,26080.75,223.35,232,222.8,232,55425,1359075,10.894937
02-12-2025 11:15,377.6,411,375.9,404.05,34350,64275,9.702643,26050,26068.4,231.85,234.5,212.55,216.3,51000,147600,10.879247
02-12-2025 11:30,404.25,408.55,399.75,401.15,8025,66450,9.716845,26050,26063.3,216.85,220,212.85,219.6,38775,148875,10.928173
02-12-2025 11:45,401.15,406.95,394,398.4,11325,71625,9.835788,26050,26053.75,220,224.4,214.95,219.3,46275,146850,10.785064
02-12-2025 12:00,398.3,402,391.8,395.9,8850,74325,9.798059,26050,26051.55,219.9,224.05,215.45,219.55,10350,144675,10.764108
02-12-2025 12:15,395.45,404.85,395.45,404.85,4275,74925,9.789949,26050,26066.45,218.8,219.55,213,213,7050,144075,10.73713
02-12-2025 12:30,404.85,410,377.1,402,20850,78375,9.822505,26050,26060.6,213,228.75,208.35,217,43350,148500,10.800875
02-12-2025 12:45,397.9,402,386.35,390.3,18600,81000,9.835888,26050,26041.2,217,228.15,216.35,224,56925,168900,10.78018
02-12-2025 13:00,389.05,395,384.15,387.95,12525,86850,9.873294,26050,26035.8,224,228.7,217.65,226.55,24375,169875,10.795408
02-12-2025 13:15,387.95,395.7,385,386.15,5025,88125,9.82189,26050,26035.35,225.75,227.45,218.55,223.05,10275,172350,10.664879
02-12-2025 13:30,386.25,390.9,384.8,388.6,4875,88575,9.884855,26050,26036.65,223.35,225.4,217.65,223.3,10950,177525,10.693205
02-12-2025 13:45,387.7,397.55,384,397,10950,92400,9.684304,26050,26059.45,223.8,225,214,215.4,45675,198900,10.731893
02-12-2025 14:00,397,400,390,392,8400,94650,9.829158,26050,26045.05,215.2,220.85,212.95,218.6,18000,198750,10.645778
02-12-2025 14:15,389.95,394,382.45,387.65,15825,97950,9.756469,26050,26041.4,220.7,225.7,217.75,222.75,55350,180975,10.743714
02-12-2025 14:30,388.25,417.3,382.7,407.15,217650,6196950,10.078156,26000,26010,222.05,225.15,203.6,209.6,276525,7722000,10.548059
02-12-2025 14:45,406.6,416,402.1,406.95,220725,6239025,9.876227,26000,26018.75,209.25,210.65,201.1,206.7,330825,7684750,10.565361
02-12-2025 15:00,409.75,412,379.4,384.45,95325,108900,9.753821,26050,26036.75,205,221.8,202.25,215.95,311400,177900,10.436786
02-12-2025 15:15,384.95,393.55,383,392,22950,109950,9.578677,26050,26057,215.4,217.1,205.55,209.2,51375,184200,10.479731
03-12-2025 09:15,411,411,342.6,383.05,304575,32625,9.37,25950,25963.05,209.3,239.25,201.1,212.05,474900,136800,10.75
03-12-2025 09:30,383,394.95,362.65,369.7,26775,45000,9.35,25950,25943.9,212.2,230,207.8,224,82500,148275,10.92
03-12-2025 09:45,369.05,373.2,362,373.1,13050,49275,9.27,25950,25951.55,223.7,227.1,218.25,219.2,31875,148425,10.85
03-12-2025 10:00,372.4,396,353.35,353.35,100800,54900,9.06,25950,25928.2,219.35,229.6,205.5,227.75,201900,153075,10.83
03-12-2025 10:15,354.05,389.9,354.05,382.75,33375,505125,9.17,25900,25922.95,228.35,228.75,206.95,211.75,70950,931425,10.89
03-12-2025 10:30,382.6,386.9,353.65,372,52725,520800,9.19,25900,25904.4,211.3,230.55,208.2,214.65,73950,929400,10.74
