datetime,CALL_open,CALL_high,CALL_low,CALL_close,CALL_volume,CALL_oi,CALL_iv,strike,spot,PUT_open,PUT_high,PUT_low,PUT_close,PUT_volume,PUT_oi,PUT_iv
2023-11-01 09:15:00,306.0,306.0,261.2,289.5,63550.0,98500.0,8.901573,19050.0,19070.65,197.55,212.05,186.95,193.9,101100.0,126350.0,12.666692
2023-11-01 09:30:00,289.5,300.4,257.9,263.45,122400.0,1471750.0,8.896805,19100.0,19078.35,193.9,213.7,186.7,209.2,130650.0,1852950.0,12.555925
2023-11-01 09:45:00,294.65,294.65,271.45,275.2,16450.0,97350.0,9.202757,19050.0,19038.5,190.0,212.6,190.0,212.1,40750.0,128050.0,12.920579
2023-11-01 10:00:00,275.2,297.5,262.0,276.0,72700.0,100300.0,9.075825,19050.0,19044.1,212.4,219.8,195.6,208.55,106100.0,132200.0,12.862186
2023-11-01 10:15:00,276.0,284.55,274.6,278.5,6000.0,101400.0,8.932483,19050.0,19052.3,207.35,208.0,198.85,204.6,15700.0,131550.0,12.834016
2023-11-01 10:30:00,278.5,282.65,268.05,279.4,8050.0,101600.0,9.077465,19050.0,19049.7,204.6,212.85,202.35,204.1,14350.0,134250.0,12.760864
2023-11-01 10:45:00,279.4,283.35,275.25,282.0,5600.0,102950.0,9.123591,19050.0,19052.45,204.1,206.4,199.0,199.5,12700.0,133500.0,12.594898
2023-11-01 11:00:00,282.0,282.0,269.0,273.35,9450.0,103750.0,8.952843,19050.0,19046.65,199.5,208.4,199.5,203.25,16400.0,136600.0,12.663262
2023-11-01 11:15:00,273.35,277.95,271.0,274.45,4900.0,103800.0,9.098228,19050.0,19041.4,203.25,207.35,200.25,202.45,11450.0,136550.0,12.523742
2023-11-01 11:30:00,274.45,277.4,269.5,275.0,9550.0,103350.0,9.011253,19050.0,19045.25,204.65,209.15,201.3,202.55,12750.0,137000.0,12.604829
2023-11-01 11:45:00,275.0,280.15,275.0,276.55,5500.0,103150.0,9.00003,19050.0,19048.2,202.55,204.0,196.05,201.75,15700.0,137400.0,12.62509
2023-11-01 12:00:00,276.55,282.0,274.3,281.8,2800.0,103000.0,9.159396,19050.0,19051.5,201.75,204.3,199.0,199.0,7100.0,138300.0,12.558384
2023-11-01 12:15:00,281.8,290.0,279.75,283.45,9600.0,106150.0,9.010869,19050.0,19059.0,199.0,200.35,189.05,195.2,16900.0,139700.0,12.521468
2023-11-01 12:30:00,282.75,282.75,265.6,267.5,13100.0,104650.0,8.877914,19050.0,19038.0,195.2,209.0,195.2,206.65,18800.0,143150.0,12.663643
2023-11-01 12:45:00,267.5,270.55,263.5,267.0,6750.0,104500.0,8.858198,19050.0,19037.95,207.05,211.0,203.5,207.45,13350.0,139000.0,12.685247
2023-11-01 13:00:00,267.0,295.0,260.0,276.1,117800.0,2763100.0,8.882605,19000.0,19002.95,207.45,214.5,190.8,204.7,197250.0,5380950.0,12.890757
2023-11-01 13:15:00,275.4,282.35,267.25,279.95,255850.0,2818850.0,8.775338,19000.0,19012.5,206.5,214.65,199.0,201.0,301500.0,5403050.0,12.898667
2023-11-01 13:30:00,279.95,284.4,254.5,261.0,96450.0,108300.0,8.710782,19050.0,19033.45,200.45,217.5,196.25,210.0,124200.0,139850.0,12.738561
2023-11-01 13:45:00,261.3,289.75,255.0,281.75,63350.0,2805250.0,8.730505,19000.0,19016.9,210.0,215.45,192.4,199.8,86600.0,5400500.0,12.927811
2023-11-01 14:00:00,281.95,288.25,253.05,281.2,59650.0,2806350.0,8.764241,19000.0,19015.1,199.8,218.7,194.0,200.1,106050.0,5423150.0,12.908976
2023-11-01 14:15:00,280.6,283.05,276.0,280.35,73600.0,2807950.0,8.771578,19000.0,19013.65,199.85,203.7,196.8,200.0,183300.0,5438550.0,12.877486
2023-11-01 14:30:00,280.35,280.5,271.2,273.85,124150.0,2775950.0,8.735678,19000.0,19004.7,199.4,205.75,195.0,201.9,204300.0,5402000.0,12.797284
2023-11-01 14:45:00,273.85,287.3,272.25,281.7,101650.0,2777900.0,8.975701,19000.0,19009.55,201.55,203.8,192.75,198.3,247950.0,5434250.0,12.718764
2023-11-01 15:00:00,281.7,284.45,267.9,268.45,147050.0,2771200.0,8.912812,19000.0,18990.6,199.25,208.95,196.25,207.0,247850.0,5400500.0,12.768942
2023-11-01 15:15:00,268.5,269.35,264.95,266.05,240200.0,2763550.0,8.804203,19000.0,18990.4,207.0,211.75,206.7,210.0,349100.0,5363900.0,12.910229
2023-11-01 15:30:00,,,,,,,,19000.0,18991.95,210.0,210.0,210.0,210.0,50.0,5363900.0,12.940937
2023-11-02 09:15:00,233.95,265.5,233.95,262.0,71100.0,153950.0,8.173885,19150.0,19158.1,213.7,213.7,179.6,181.1,56250.0,151750.0,11.868844
2023-11-02 09:30:00,262.0,271.75,259.25,266.8,32400.0,157800.0,8.192382,19150.0,19165.05,180.65,183.35,175.45,180.75,31550.0,154950.0,11.986501
2023-11-02 09:45:00,266.2,266.8,249.35,252.3,25150.0,167950.0,8.315881,19150.0,19138.55,180.75,192.55,180.75,190.9,48400.0,165750.0,11.964939
2023-11-02 10:00:00,252.3,276.35,243.1,274.0,25250.0,1618800.0,8.282117,19100.0,19124.6,190.9,198.0,175.0,177.55,50950.0,1953150.0,12.038405
2023-11-02 10:15:00,245.0,275.5,243.35,269.0,77850.0,1614250.0,8.079949,19100.0,19123.1,195.75,198.0,175.5,178.1,115800.0,1976400.0,12.038004
2023-11-02 10:30:00,269.9,270.8,240.15,269.0,38750.0,1599950.0,8.123681,19100.0,19121.9,177.5,197.15,177.15,178.1,70050.0,1964000.0,12.016273
2023-11-02 10:45:00,268.85,270.0,261.8,264.7,74350.0,1572450.0,8.155962,19100.0,19114.45,178.1,183.95,176.35,182.5,77100.0,1958350.0,12.09016
2023-11-02 11:00:00,264.45,268.85,238.8,241.95,65600.0,167100.0,8.148963,19150.0,19127.85,182.5,198.5,178.3,196.35,114650.0,148900.0,12.020706
2023-11-02 11:15:00,271.35,271.85,238.4,264.2,112850.0,1597350.0,8.117215,19100.0,19115.05,177.15,198.8,176.25,181.25,126550.0,1987050.0,12.04284
2023-11-02 11:30:00,264.25,265.1,248.5,249.5,118200.0,1568650.0,8.154295,19100.0,19091.05,181.4,192.4,179.65,192.05,163700.0,1974300.0,12.101712
2023-11-02 11:45:00,248.05,250.95,243.0,247.0,148150.0,1559950.0,8.481874,19100.0,19076.5,192.65,199.45,190.35,194.0,197300.0,1962800.0,11.906756
2023-11-02 12:00:00,247.0,276.85,243.4,250.05,162500.0,1485350.0,8.553797,19100.0,19079.2,194.0,195.6,173.4,188.9,160300.0,1892300.0,11.714995
2023-11-02 12:15:00,250.05,260.0,249.45,257.0,104750.0,1480200.0,8.434693,19100.0,19094.35,189.0,189.75,180.65,183.7,109050.0,1890450.0,11.764078
2023-11-02 12:30:00,257.05,267.0,252.15,262.8,184500.0,1432600.0,8.600315,19100.0,19098.4,184.0,189.0,176.15,180.75,192150.0,1853400.0,11.700792
2023-11-02 12:45:00,262.2,268.05,261.0,265.85,76500.0,1427150.0,8.661504,19100.0,19101.4,181.3,182.3,176.75,179.2,67550.0,1845000.0,11.684774
2023-11-02 13:00:00,265.85,270.0,262.0,270.0,97950.0,1406200.0,8.509895,19100.0,19112.75,179.2,179.2,173.05,173.05,116750.0,1818750.0,11.604297
2023-11-02 13:15:00,269.65,270.85,258.4,261.0,99900.0,1400550.0,8.520131,19100.0,19098.4,173.0,180.55,170.8,178.5,104400.0,1803000.0,11.594136
2023-11-02 13:30:00,261.0,268.3,261.0,267.0,97450.0,1390550.0,8.376101,19100.0,19112.4,178.5,178.8,170.5,171.35,95900.0,1807200.0,11.516206
2023-11-02 13:45:00,267.0,282.0,249.0,256.25,63950.0,159600.0,8.757078,19150.0,19132.2,171.35,183.0,162.2,179.3,55900.0,135350.0,11.293938
2023-11-02 14:00:00,256.25,286.15,251.5,252.45,66450.0,159850.0,8.765924,19150.0,19125.8,179.3,185.55,162.7,180.7,80050.0,129600.0,11.235451
2023-11-02 14:15:00,252.45,283.4,251.45,275.15,50250.0,1433300.0,8.752606,19100.0,19113.8,180.7,181.9,162.05,165.45,62850.0,1868050.0,11.255842
2023-11-02 14:30:00,275.15,281.9,275.0,276.6,104350.0,1431450.0,8.899709,19100.0,19111.6,166.15,166.85,162.2,165.2,116600.0,1872600.0,11.20246
2023-11-02 14:45:00,276.7,286.0,251.55,258.0,130100.0,156850.0,8.845745,19150.0,19132.55,165.1,177.5,156.8,174.0,155650.0,131050.0,11.047282
2023-11-02 15:00:00,259.0,292.0,257.45,289.2,67700.0,1428550.0,9.256846,19100.0,19120.45,172.45,174.3,153.5,155.25,60500.0,1872450.0,10.880935
2023-11-02 15:15:00,257.7,270.0,255.4,265.3,52100.0,157950.0,8.837103,19150.0,19144.85,173.55,175.3,157.0,162.7,46050.0,135900.0,10.738736
2023-11-03 09:15:00,261.4,261.4,244.15,253.95,84550.0,153200.0,8.322382,19250.0,19248.55,163.0,165.25,152.55,156.2,77450.0,160850.0,10.516361
2023-11-03 09:30:00,254.0,265.0,253.4,254.65,59300.0,172950.0,8.308344,19250.0,19250.2,155.65,155.65,148.35,154.3,73550.0,192250.0,10.455278
2023-11-03 09:45:00,254.65,258.15,243.05,251.05,33150.0,179800.0,8.105387,19250.0,19250.95,154.3,161.55,151.35,156.6,49700.0,199100.0,10.584608
2023-11-03 10:00:00,251.05,256.0,247.1,250.85,33650.0,180400.0,7.636563,19250.0,19264.9,156.6,159.5,154.0,157.8,37500.0,196150.0,10.914068
2023-11-03 10:15:00,250.85,252.2,239.9,241.0,48700.0,185950.0,7.327469,19250.0,19259.1,157.8,163.45,155.2,162.7,57350.0,177200.0,11.04657
2023-11-03 10:30:00,241.0,241.85,235.8,238.2,37250.0,189200.0,7.311447,19250.0,19255.4,162.0,165.0,160.6,163.6,26400.0,176700.0,11.020402
2023-11-03 10:45:00,238.45,247.2,237.45,245.0,46400.0,202850.0,7.148869,19250.0,19270.45,163.6,164.45,155.75,156.75,30850.0,172650.0,10.970934
2023-11-03 11:00:00,244.85,250.85,218.1,245.6,25800.0,205350.0,7.252289,19250.0,19268.5,156.75,175.35,153.45,157.7,22600.0,167200.0,10.982077
2023-11-03 11:15:00,245.6,248.2,238.0,238.0,11100.0,203900.0,7.359637,19250.0,19253.95,157.7,162.1,156.2,162.1,23500.0,165950.0,10.920986
2023-11-03 11:30:00,238.0,242.2,234.0,238.85,18750.0,203900.0,7.50824,19250.0,19250.9,162.1,165.8,159.9,163.65,23550.0,163950.0,10.939211
