datetime,CALL_open,CALL_high,CALL_low,CALL_close,CALL_volume,CALL_oi,CALL_iv,strike,spot,PUT_open,PUT_high,PUT_low,PUT_close,PUT_volume,PUT_oi,PUT_iv
02-01-2023 09:15,298.65,321.75,279.8,307.55,75800,460600,13.471723,18100,18101.8496,244.3,246.95,217.25,231.4,138950,816450,15.743502
02-01-2023 09:30,307.55,318.7,281.85,301.6,72250,53650,13.150029,18150,18150.1992,231.8,240.85,218.2,226,106800,45950,15.370274
02-01-2023 09:45,301.6,313.8,296,306.8,20200,55450,13.114274,18150,18160.3008,225,230,217.35,225.2,10900,48300,15.566919
02-01-2023 10:00,306.8,312.25,300.25,304.9,11050,56600,12.912207,18150,18162.9004,225.2,227.3,217.05,225.15,11450,50750,15.627531
02-01-2023 10:15,304.9,310.65,300.9,303.75,7450,58800,13.069559,18150,18156.75,225.15,227.45,220,226.05,4550,50250,15.534983
02-01-2023 10:30,301.9,310,278.15,289.4,96850,1293450,12.971819,18200,18183.75,226.05,241.6,218.6,232.6,97750,1689850,15.316704
02-01-2023 10:45,289.4,316.65,281.4,284.95,60450,1300100,12.81638,18200,18181,232.6,236.6,212,230.95,68350,1695350,15.160929
02-01-2023 11:00,284.95,295,283,288.6,145500,1308000,12.8485,18200,18186.5,231,232.1,222.35,228.5,114100,1697850,15.160062
02-01-2023 11:15,288.75,291,280.35,286,59650,1298250,12.789811,18200,18183.9492,228.85,233.35,225.35,229.8,96850,1703950,15.172759
02-01-2023 11:30,286,312.65,282.15,290,44050,1288950,12.938684,18200,18186.4004,229.8,233,210.85,226.35,50950,1696550,15.042625
02-01-2023 11:45,290,312.6,279.35,310.7,32800,59300,12.942638,18150,18173.0996,226.35,232.9,210.3,211,31750,51500,15.089276
02-01-2023 12:00,310.7,310.7,280.85,289.1,25850,1285150,12.715712,18200,18192.0508,210.95,230.8,210,225,37600,1699250,15.107527
02-01-2023 12:15,289.1,311.5,282.5,306,31900,59550,12.886965,18150,18167.1504,225,231.15,209.65,213,42900,56500,15.067347
02-01-2023 12:30,306,308.75,278.45,306.65,18800,58250,12.835691,18150,18169.9004,214.15,233.9,211.65,212.3,19300,56550,15.112808
02-01-2023 12:45,306.65,310.85,296.55,300.6,6150,57600,12.897111,18150,18158,212.3,218.95,209.25,215.2,9300,57650,14.98016
02-01-2023 13:00,300.6,310,280,285.5,24300,1288600,12.84448,18200,18182.3496,215.2,230.95,209,225.8,27300,1698400,14.926845
02-01-2023 13:15,286.65,287.55,281.3,281.5,30650,1285300,12.627561,18200,18182.3008,225.3,230.45,224.7,229.2,37550,1700500,15.116541
02-01-2023 13:30,281.5,313.9,275.9,310.2,20750,58600,13.004184,18150,18171.4004,228.9,233,209,210.9,33350,60100,15.059319
02-01-2023 13:45,310.2,311.1,279.15,303.25,9550,59200,12.895061,18150,18163.0996,210.9,230.75,208.5,213,17050,56350,14.985386
02-01-2023 14:00,303.25,307.85,275.4,304.8,13600,62450,12.751872,18150,18170.0996,213,231,207.45,208.75,13750,56100,14.912542
02-01-2023 14:15,304.8,304.8,273.75,288.35,26950,67150,12.586538,18150,18147.3496,208.75,234.35,208.75,221.5,39450,62200,15.092327
02-01-2023 14:30,288.35,300,286.8,296.3,16200,67450,12.730033,18150,18156.6992,221.5,224.15,210.05,216,16600,60850,15.009121
02-01-2023 14:45,296.3,299.6,267.9,282.2,206900,1281750,12.715864,18200,18181.5996,216,237.25,208.1,223.1,200200,1669850,14.773072
02-01-2023 15:00,282.2,308.45,277.1,288.2,93400,1271650,12.687016,18200,18193.0508,222,231,207.85,217.9,158350,1668650,14.761408
02-01-2023 15:15,289,295.45,286.7,292,216600,1250200,12.381432,18200,18208.9492,217.4,217.65,210.3,214,224400,1668350,14.923008
03-01-2023 09:15,293.2,302.6,260.55,284.3,64800,65900,12.241568,18150,18161.0996,211.95,238.8,209,219.15,89300,71400,15.459561
03-01-2023 09:30,284.3,291,259.45,272.95,281900,1875850,12.138242,18200,18193.6992,219.15,236.7,212,221.6,324300,2272900,15.144213
03-01-2023 09:45,272.95,282,269.4,280.55,146000,1845400,12.049612,18200,18209.4004,221.6,224.8,212.5,212.85,143900,2250500,15.030182
03-01-2023 10:00,281.05,291.35,259.15,263,101200,101100,11.980142,18250,18230.25,212.75,228.15,204.2,223.35,149600,86400,14.88321
