datetime,CALL_open,CALL_high,CALL_low,CALL_close,CALL_volume,CALL_oi,CALL_iv,strike,spot,PUT_open,PUT_high,PUT_low,PUT_close,PUT_volume,PUT_oi,PUT_iv
2024-12-02 09:15:00,430.75,454.65,415.25,418.3,81425,73075,13.862148,24050.0,24034.6,257.8,287.2,257.8,281.0,206325,76650,14.132092
2024-12-02 09:30:00,419.15,451.0,402.5,443.8,91525,662875,14.019518,24100.0,24120.55,281.0,286.4,255.95,262.0,142025,668775,13.948032
2024-12-02 09:45:00,410.05,457.95,409.0,424.65,28250,93225,14.023542,24150.0,24136.1,280.85,288.15,259.4,275.4,68700,78950,13.885499
2024-12-02 10:00:00,424.65,455.55,414.8,448.25,40525,686000,14.266329,24100.0,24118.35,275.4,281.4,257.85,259.85,61925,759700,13.825257
2024-12-02 10:15:00,415.35,456.6,415.35,445.5,27925,93675,14.222894,24150.0,24164.1,280.0,280.0,250.55,261.3,19100,84575,13.791747
2024-12-02 10:30:00,445.5,457.0,414.05,446.0,38900,696100,14.091356,24100.0,24122.1,261.3,281.1,255.0,265.0,51550,776825,14.105791
2024-12-02 10:45:00,446.0,451.05,411.65,440.2,31925,690875,14.089316,24100.0,24112.5,265.0,288.2,261.95,269.1,39425,759775,14.113299
2024-12-02 11:00:00,440.2,452.9,414.95,418.1,11375,99700,13.937098,24150.0,24129.3,268.8,282.3,258.55,276.8,14525,91725,13.832371
2024-12-02 11:15:00,418.1,438.5,418.1,429.0,14825,99275,13.963448,24150.0,24147.35,276.8,277.9,264.0,272.6,10175,93225,13.976766
2024-12-02 11:30:00,429.0,436.3,416.0,434.05,3975,99375,13.987119,24150.0,24155.25,272.6,280.45,267.45,268.0,12925,98925,13.925499
2024-12-02 11:45:00,434.05,451.75,414.45,422.65,9825,99775,13.777959,24150.0,24144.55,268.0,283.0,259.5,274.35,16975,101250,14.00375
2024-12-02 12:00:00,422.65,435.95,418.9,428.3,5425,101050,14.108707,24150.0,24140.6,274.35,279.3,271.1,274.25,3825,102650,13.932644
2024-12-02 12:15:00,428.3,453.0,417.95,430.0,20625,1119975,14.242754,24200.0,24186.5,274.25,278.4,257.25,272.65,31675,1087075,13.774332
2024-12-02 12:30:00,431.4,460.55,420.55,451.55,39900,100125,14.340602,24150.0,24171.3,272.95,278.6,255.75,263.95,39475,105300,14.039926
