datetime,CALL_open,CALL_high,CALL_low,CALL_close,CALL_volume,CALL_oi,CALL_iv,strike,spot,PUT_open,PUT_high,PUT_low,PUT_close,PUT_volume,PUT_oi,PUT_iv
2024-11-01 18:00:00,460.0,460.0,410.45,427.0,33000,64750,12.591302,24350.0,24348.75,349.65,391.4,349.65,377.35,37700.0,62150.0,17.538534
2024-11-01 18:15:00,427.0,427.0,413.85,417.05,5800,65850,12.708407,24350.0,24326.8,377.35,382.4,371.0,379.95,10975.0,66325.0,17.27495
2024-11-01 18:30:00,417.05,451.0,416.5,443.0,19900,734625,13.104785,24300.0,24305.4,379.95,380.0,354.95,364.0,28875.0,1118350.0,17.166843
2024-11-01 18:45:00,442.85,447.75,440.0,441.0,55825,739175,13.142525,24300.0,24300.55,363.25,364.7,358.1,359.9,57900.0,1121950.0,16.930358
2024-11-04 09:15:00,458.15,495.55,458.15,460.55,69800,176300,15.742801,24100.0,24076.65,351.35,357.15,311.05,352.7,150150.0,466975.0,16.903531
2024-11-04 09:30:00,460.55,492.95,440.5,466.6,76775,17225,15.019654,24050.0,24069.75,356.15,369.95,326.75,340.5,88775.0,33425.0,17.198511
2024-11-04 09:45:00,463.15,463.7,435.5,456.0,10800,22250,14.726232,24050.0,24063.95,337.0,373.75,337.0,354.2,15775.0,39750.0,17.662746
2024-11-04 10:00:00,456.0,473.5,436.95,473.0,194250,17375,15.311761,23950.0,23972.3,354.2,371.9,346.65,358.95,206750.0,35350.0,18.070526
2024-11-04 10:15:00,473.0,474.0,437.05,449.5,93125,22450,15.248758,23950.0,23934.35,358.95,384.6,356.85,377.7,111225.0,38650.0,18.168502
2024-11-04 10:30:00,449.5,474.5,441.85,469.0,41775,82250,15.146341,23900.0,23924.3,380.1,381.9,358.25,359.35,52650.0,746375.0,18.159506
2024-11-04 10:45:00,440.5,469.3,434.0,445.2,62425,125200,15.114213,23900.0,23884.6,380.55,388.65,360.25,386.65,70950.0,767425.0,18.579221
2024-11-04 11:00:00,445.2,468.7,441.0,450.65,15625,20575,15.31808,23850.0,23847.25,386.8,398.5,369.45,386.05,23725.0,33225.0,18.819491
2024-11-04 11:15:00,455.05,477.5,431.0,465.0,37650,23625,15.176308,23850.0,23868.45,385.0,393.75,350.25,359.1,52675.0,35325.0,18.085586
2024-11-04 11:30:00,434.65,470.0,430.95,463.55,10975,26750,15.036591,23850.0,23871.9,384.0,387.25,355.7,363.75,28275.0,40800.0,18.342453
2024-11-04 11:45:00,463.55,469.0,434.9,442.95,5675,214775,14.972993,23900.0,23887.45,360.8,378.75,348.7,372.45,13300.0,849975.0,18.055773
2024-11-04 12:00:00,441.85,462.85,428.0,456.9,37550,218900,14.68668,23900.0,23923.65,372.15,380.4,349.0,356.95,23775.0,845525.0,18.064528
2024-11-04 12:15:00,427.35,465.0,426.3,445.5,18275,221650,15.130782,23900.0,23885.65,379.85,379.85,345.45,373.45,27600.0,850725.0,18.069671
2024-11-04 12:30:00,445.5,453.95,436.5,445.0,16850,222675,15.105442,23900.0,23886.05,373.5,379.5,361.4,371.0,35625.0,851400.0,17.978345
2024-11-04 12:45:00,445.0,467.55,441.3,460.45,7900,28075,15.268708,23850.0,23858.0,371.15,377.05,355.0,367.7,9250.0,45200.0,18.272015
2024-11-04 13:00:00,426.25,460.0,426.25,453.5,16000,222375,14.999982,23900.0,23905.7,390.5,390.5,357.2,361.35,19750.0,852675.0,17.938363
2024-11-04 13:15:00,453.0,474.25,435.65,466.95,17075,29675,15.257884,23850.0,23870.05,361.35,378.85,346.85,351.95,61100.0,46875.0,17.918387
2024-11-04 13:30:00,436.65,449.5,436.65,440.0,9600,223975,15.005778,23900.0,23882.3,377.45,377.45,365.2,371.45,11650.0,871625.0,17.939209
2024-11-04 13:45:00,440.0,463.35,437.5,455.45,21900,228875,14.88304,23900.0,23914.5,370.65,373.5,347.5,353.15,29000.0,878150.0,17.763157
2024-11-04 14:00:00,455.45,465.5,423.55,438.35,14250,39200,14.806653,23950.0,23936.6,353.15,375.45,346.55,362.95,17075.0,42875.0,17.64011
2024-11-04 14:15:00,438.35,468.1,431.4,439.75,7675,39100,14.880086,23950.0,23936.15,362.95,368.8,342.35,362.85,26925.0,55200.0,17.630379
2024-11-04 14:30:00,439.75,467.85,439.75,452.9,11825,41450,15.033288,23950.0,23952.85,362.85,362.85,338.0,354.9,9100.0,54700.0,17.604713
2024-11-04 14:45:00,455.85,473.05,435.3,468.7,135925,39675,15.215086,23950.0,23972.75,354.9,365.4,336.15,338.35,175350.0,57350.0,17.274293
2024-11-04 15:00:00,440.55,461.25,440.3,457.85,242700,1743825,15.346067,24000.0,23997.1,355.0,355.0,333.9,336.45,331025.0,3783150.0,16.714034
2024-11-04 15:15:00,458.3,466.9,445.0,446.9,327375,1626175,15.043168,24000.0,23990.95,336.0,345.0,327.0,343.95,334450.0,3701475.0,16.916225
2024-11-05 09:15:00,520.0,520.0,440.0,453.65,371900,1696125,15.854146,24000.0,23983.7,320.25,368.25,310.0,344.75,572925.0,3780300.0,16.994458
2024-11-05 09:30:00,454.35,481.1,447.05,474.15,107550,35675,16.165368,23950.0,23958.65,344.45,352.5,322.3,332.25,178050.0,59675.0,16.956181
2024-11-05 09:45:00,473.95,477.05,441.4,458.45,83675,1755650,15.710656,24000.0,23998.6,332.25,342.35,315.5,327.65,131750.0,3858000.0,16.554027
2024-11-05 10:00:00,458.45,484.0,440.75,472.2,131675,35850,15.818258,23950.0,23969.95,328.25,344.95,317.85,320.45,172575.0,74825.0,16.666724
2024-11-05 10:15:00,472.2,473.45,426.3,468.75,39625,1829375,15.564729,24000.0,24022.9,320.45,346.65,308.75,312.45,82825.0,3935350.0,16.355426
2024-11-05 10:30:00,469.05,479.45,441.7,473.95,63025,35025,15.927137,23950.0,23968.95,311.85,338.05,310.7,321.5,84650.0,73050.0,16.698122
2024-11-05 10:45:00,473.95,473.95,440.95,448.45,84100,1882300,15.694889,24000.0,23982.5,321.5,337.15,320.0,328.7,92325.0,3986175.0,16.31383
2024-11-05 11:00:00,448.45,479.15,440.45,446.2,34675,1901700,15.618473,24000.0,23981.95,329.3,336.35,307.1,332.35,51975.0,3995675.0,16.459345
2024-11-05 11:15:00,446.2,475.85,441.35,449.0,3500,35350,15.792209,23950.0,23931.5,334.45,339.65,318.7,339.65,13175.0,72300.0,16.789002
2024-11-05 11:30:00,449.0,482.05,443.0,482.05,47050,26700,16.413507,23850.0,23867.35,339.65,342.3,317.35,327.7,44875.0,48450.0,17.000741
2024-11-05 11:45:00,475.1,484.35,434.7,479.05,19175,26800,16.396439,23850.0,23863.05,327.7,353.0,317.0,325.6,27100.0,50075.0,16.836365
2024-11-05 12:00:00,479.05,479.05,444.0,450.1,20675,232375,15.940151,23900.0,23879.55,325.6,346.65,323.55,334.1,29625.0,912025.0,16.555061
2024-11-05 12:15:00,444.95,478.5,441.0,453.1,12100,233475,16.077376,23900.0,23879.35,339.6,342.35,318.15,335.55,17200.0,910325.0,16.615272
2024-11-05 12:30:00,453.1,472.75,450.65,469.65,54400,231075,16.087534,23900.0,23908.3,336.6,338.95,319.65,324.0,47350.0,911850.0,16.660681
2024-11-05 12:45:00,469.65,480.95,440.45,473.7,25625,234225,16.009336,23900.0,23918.75,324.0,339.2,314.4,320.65,15000.0,912400.0,16.710082
2024-11-05 13:00:00,473.7,484.35,442.45,471.65,58050,237325,16.018202,23900.0,23915.05,320.65,339.1,314.5,320.0,31250.0,918000.0,16.618294
2024-11-05 13:15:00,471.65,475.0,416.75,440.35,85050,51825,14.96991,24050.0,24049.0,320.0,343.85,308.9,325.05,135450.0,45575.0,16.45747
2024-11-05 13:30:00,450.0,465.6,415.3,442.6,39650,50375,14.472786,24050.0,24073.35,320.0,336.6,305.85,319.0,36600.0,46900.0,16.643175
2024-11-05 13:45:00,416.25,445.0,405.6,443.95,50475,347925,14.4586,24100.0,24124.9,338.2,349.85,310.55,313.15,63875.0,543350.0,16.397863
2024-11-05 14:00:00,414.5,445.6,409.0,437.2,11275,40175,14.40763,24150.0,24164.1,332.05,338.75,310.0,321.05,7725.0,38775.0,16.511914
2024-11-05 14:15:00,437.2,441.55,406.0,422.6,114500,780625,14.271905,24200.0,24193.1,323.0,343.65,313.0,329.25,86900.0,949600.0,16.451394
2024-11-05 14:30:00,422.6,455.0,413.3,424.6,128425,754825,14.13811,24200.0,24202.3,329.25,342.35,314.0,325.5,128875.0,939575.0,16.463255
2024-11-05 14:45:00,424.6,429.0,410.55,413.2,65875,758300,13.97731,24200.0,24189.35,325.5,335.35,322.25,333.2,71600.0,956850.0,16.553246
2024-11-05 15:00:00,413.2,432.95,411.6,416.95,126725,782875,13.693572,24200.0,24207.7,331.0,331.0,310.5,321.0,128925.0,983025.0,16.376674
2024-11-05 15:15:00,415.3,419.7,407.4,412.0,97225,771650,13.723433,24200.0,24198.15,322.0,329.6,315.75,317.0,165875.0,939325.0,16.039585
2024-11-06 09:15:00,360.0,424.35,360.0,384.95,203725,44975,12.918932,24350.0,24343.85,356.0,356.0,281.7,286.8,189400.0,51700.0,14.7735
2024-11-06 09:30:00,388.4,414.1,373.8,390.7,71175,50750,13.105453,24350.0,24346.4,280.45,315.0,275.75,299.35,83025.0,53950.0,15.35384
2024-11-06 09:45:00,390.7,412.25,366.0,393.8,53950,54375,13.00925,24350.0,24355.8,299.35,303.1,268.25,280.95,48200.0,53125.0,14.745875
2024-11-06 10:00:00,393.8,399.85,369.25,383.0,178250,774700,13.172211,24400.0,24379.25,280.95,293.35,266.7,278.65,106050.0,790675.0,14.144352
