datetime,CALL_open,CALL_high,CALL_low,CALL_close,CALL_volume,CALL_oi,CALL_iv,strike,spot,PUT_open,PUT_high,PUT_low,PUT_close,PUT_volume,PUT_oi,PUT_iv
2023-04-03 09:15:00,274.95,274.95,234.05,252.8,332900,107400,10.868448,17350.0,17344.4492,185.0,201.85,174.5,191.4,349450,130400,13.620624
2023-04-03 09:30:00,252.8,264.75,243.8,260.4,23400,115650,10.827474,17350.0,17358.4004,190.6,197.85,178.65,182.2,66200,137150,13.428233
2023-04-03 09:45:00,260.4,274.4,236.35,270.2,73500,124550,10.818881,17350.0,17374.75,182.55,193.9,170.3,172.2,47500,139100,13.236
2023-04-03 10:00:00,238.65,275.15,238.5,268.9,34750,129050,10.993556,17350.0,17367.9004,190.05,191.6,166.2,170.1,31300,145050,12.957432
2023-04-03 10:15:00,268.9,270.3,236.8,264.7,38150,131350,10.93786,17350.0,17362.6992,170.1,188.65,168.4,172.4,44150,148200,12.970359
2023-04-03 10:30:00,266.05,266.05,245.35,246.45,20300,137050,10.747621,17350.0,17337.8496,172.4,187.75,171.0,186.75,32950,149900,13.203437
2023-04-03 10:45:00,246.45,253.55,242.95,247.5,21700,137600,10.778069,17350.0,17338.8496,186.75,190.15,179.45,186.55,20500,147900,13.217853
2023-04-03 11:00:00,247.5,270.8,238.3,268.0,25750,1057250,10.76942,17300.0,17324.3008,186.55,192.85,172.45,173.6,45250,1113100,13.345625
2023-04-03 11:15:00,238.0,271.0,236.85,263.8,65750,1081750,10.758641,17300.0,17317.9004,192.35,193.65,171.3,175.95,129350,1124400,13.334022
2023-04-03 11:30:00,263.8,267.95,237.0,244.0,52350,150600,10.860558,17350.0,17330.8008,175.95,191.5,171.65,187.2,65100,148050,13.063804
2023-04-03 11:45:00,244.0,253.05,244.0,251.0,22250,151800,10.775046,17350.0,17345.3008,187.2,187.2,179.0,182.2,15400,148900,13.13077
2023-04-03 12:00:00,251.0,260.6,248.65,254.55,17500,150800,10.764541,17350.0,17351.6504,182.2,183.5,173.05,178.1,20400,145100,13.0488
2023-04-03 12:15:00,254.55,260.0,250.35,256.15,15100,149900,10.675617,17350.0,17356.9492,177.75,181.85,175.6,176.8,30950,153350,13.101436
2023-04-03 12:30:00,256.15,259.0,252.85,257.9,7200,148450,10.930486,17350.0,17352.6992,176.8,180.95,176.4,177.7,7700,154550,13.05398
2023-04-03 12:45:00,257.9,259.6,249.25,249.25,11200,152600,10.715551,17350.0,17344.5508,177.7,183.7,176.0,182.95,8650,155300,13.162236
2023-04-03 13:00:00,249.05,265.0,245.0,252.85,17300,146550,10.800228,17350.0,17348.25,183.15,186.25,167.2,178.35,30300,157450,13.034879
2023-04-03 13:15:00,252.85,256.3,246.5,252.3,8750,145500,10.963685,17350.0,17342.6992,178.35,184.35,177.1,180.0,11100,157950,12.951428
2023-04-03 13:30:00,252.3,257.0,248.85,249.0,7950,145650,10.614321,17350.0,17347.4004,180.2,182.8,176.85,182.2,13600,156150,13.192588
2023-04-03 13:45:00,249.0,254.3,247.75,249.15,8550,146250,10.585266,17350.0,17348.5996,182.2,184.05,176.0,181.8,9350,154100,13.200018
2023-04-03 14:00:00,249.15,260.25,247.5,257.7,9950,147600,10.261927,17350.0,17371.75,181.8,182.9,171.9,173.2,17950,152550,13.252752
2023-04-03 14:15:00,257.7,262.75,226.95,259.6,21900,147550,10.295371,17350.0,17374.0,173.2,192.55,168.05,171.55,28550,149550,13.211121
2023-04-03 14:30:00,259.6,259.6,225.5,238.5,166500,1118200,10.363265,17400.0,17386.3008,171.55,193.2,170.95,177.1,137800,1114100,12.609524
2023-04-03 14:45:00,238.0,243.75,233.7,236.85,192550,1088250,10.394511,17400.0,17382.6992,177.1,180.95,172.4,179.25,185500,1118400,12.646702
2023-04-03 15:00:00,236.85,246.3,234.25,245.9,202450,1059100,10.181255,17400.0,17404.0996,179.0,180.6,166.85,167.65,209750,1138150,12.4951
2023-04-03 15:15:00,246.0,246.75,238.6,241.45,227800,1035650,10.081413,17400.0,17399.6992,167.3,170.0,165.2,169.2,268000,1168550,12.481692
2023-04-05 09:15:00,259.5,267.75,221.85,247.45,220800,151100,10.494184,17450.0,17465.9492,165.0,175.0,146.9,161.05,257200,116150,12.635169
2023-04-05 09:30:00,247.5,251.55,240.0,245.6,44550,149900,10.680027,17450.0,17457.9492,161.0,165.9,157.55,163.85,46650,126650,12.60924
2023-04-05 09:45:00,245.6,253.5,218.65,252.4,141050,147900,10.532766,17450.0,17473.1992,163.85,179.6,158.0,160.5,157650,132000,12.780736
2023-04-05 10:00:00,252.4,252.4,220.75,228.7,218150,1879500,10.219023,17500.0,17491.6504,160.5,179.0,159.25,173.8,221250,1796250,12.771433
2023-04-05 10:15:00,229.05,237.45,227.35,235.55,249750,1920150,10.301065,17500.0,17500.9492,173.8,176.55,169.1,170.55,298600,1860350,12.812003
2023-04-05 10:30:00,235.55,245.5,233.5,242.45,327500,1976050,10.567765,17500.0,17505.1504,171.0,171.5,163.45,166.95,363150,1963050,12.703437
2023-04-05 10:45:00,242.45,242.45,222.7,228.15,220300,1994350,10.337846,17500.0,17487.6992,166.2,176.5,166.2,173.35,298800,1991700,12.650688
2023-04-05 11:00:00,228.2,229.9,223.25,229.2,86050,2004450,10.465775,17500.0,17485.9492,174.35,178.2,172.75,172.9,224350,2018750,12.581635
2023-04-05 11:15:00,229.4,234.25,226.0,230.35,195250,2056600,10.206834,17500.0,17495.3496,172.95,175.15,168.5,170.45,198700,2080600,12.673898
2023-04-05 11:30:00,230.6,233.0,227.95,230.0,88450,2080600,10.443065,17500.0,17488.1992,170.4,173.5,169.0,171.25,106950,2107550,12.543966
2023-04-05 11:45:00,230.85,241.2,230.85,238.9,98200,2090400,10.410052,17500.0,17504.1992,171.5,171.5,162.05,164.5,141400,2123650,12.542778
2023-04-05 12:00:00,238.9,243.0,234.65,241.0,131950,2107850,10.334912,17500.0,17509.8496,164.5,167.15,161.0,163.4,156650,2132750,12.617449
